No,Nama Menu,Kategori,Kalori (kcal),Sumber Karbohidrat,Bahan Utama / Pendamping,Deskripsi Singkat,kalori_normalized,corpus
94,pasta aglio eolio dori stick,ikan,395,,steamed vege puding buah,pasta aglio eolio stik dori hidangan penutup,0.6666666666666643,pasta aglio eolio dori stick ikan  steamed vege puding buah pasta aglio eolio stik dori hidangan penutup
95,bistik bola sapi,sapi,395,kentang nasi merah nasi putih,tumis sayur tofu,bola daging bistik saus gurih tumis sayur tahu,0.6666666666666643,bistik bola sapi sapi kentang nasi merah nasi putih tumis sayur tofu bola daging bistik saus gurih tumis sayur tahu
96,scotch egg,lainnya,390,jagung ubi nasi merah nasi putih,salad sayur,telur balut daging disajikan dengan salad sayur,0.33333333333333215,scotch egg lainnya jagung ubi nasi merah nasi putih salad sayur telur balut daging disajikan dengan salad sayur
97,beef yakiniku,sapi,400,kentang nasi merah nasi putih,tumis sayur tofu snack,daging sapi yakiniku tumis sayur lauk tahu,1.0,beef yakiniku sapi kentang nasi merah nasi putih tumis sayur tofu snack daging sapi yakiniku tumis sayur lauk tahu
98,cah ayam buncis,ayam,395,jagung nasi merah nasi putih,sunny egg snack,tumis buncis ayam cincang lauk telur mata sapi,0.6666666666666643,cah ayam buncis ayam jagung nasi merah nasi putih sunny egg snack tumis buncis ayam cincang lauk telur mata sapi
99,fish katsu saus manis pedas,ikan,400,jagung nasi merah nasi putih,tumis sayur snack,katsu ikan saus manis pedas tumis sayuran,1.0,fish katsu saus manis pedas ikan jagung nasi merah nasi putih tumis sayur snack katsu ikan saus manis pedas tumis sayuran
100,tumis ayam paprika,ayam,400,kentang nasi merah nasi putih,steamed vege tofu,ayam tumis paprika lauk tahu kukus sayur kukus,1.0,tumis ayam paprika ayam kentang nasi merah nasi putih steamed vege tofu ayam tumis paprika lauk tahu kukus sayur kukus
101,rendang ayam,ayam,400,kentang nasi merah nasi putih,tumis sayur tempe,rendang ayam tanpa santan tumis sayur lauk tempe,1.0,rendang ayam ayam kentang nasi merah nasi putih tumis sayur tempe rendang ayam tanpa santan tumis sayur lauk tempe
102,brokoli sapi lada hitam,sapi,400,jagung ubi nasi merah nasi putih,steamed vege snack,tumis brokoli sapi lada hitam sayuran kukus,1.0,brokoli sapi lada hitam sapi jagung ubi nasi merah nasi putih steamed vege snack tumis brokoli sapi lada hitam sayuran kukus
103,opor ayam tanpa santan,ayam,400,kentang nasi merah nasi putih,steamed vege boiled egg,opor ayam kuah bening tanpa santan lauk telur,1.0,opor ayam tanpa santan ayam kentang nasi merah nasi putih steamed vege boiled egg opor ayam kuah bening tanpa santan lauk telur
104,baked chicken honey,ayam,395,jagung ubi nasi merah nasi putih,steamed vege tofu,ayam panggang madu sayur kukus lauk tahu,0.6666666666666643,baked chicken honey ayam jagung ubi nasi merah nasi putih steamed vege tofu ayam panggang madu sayur kukus lauk tahu
105,ikan woku,ikan,400,kentang nasi merah nasi putih,sayur bayam scramble egg,ikan bumbu woku pedas kemangi lauk telur orak arik,1.0,ikan woku ikan kentang nasi merah nasi putih sayur bayam scramble egg ikan bumbu woku pedas kemangi lauk telur orak arik
106,kebab ayam,ayam,395,jagung ubi nasi merah nasi putih,salad sayur,daging kebab ayam disajikan dengan salad sayur,0.6666666666666643,kebab ayam ayam jagung ubi nasi merah nasi putih salad sayur daging kebab ayam disajikan dengan salad sayur
107,chicken blackpepper,ayam,400,jagung nasi merah nasi putih,tepanyaki scramble egg,ayam lada hitam sayur tepanyaki telur orak arik,1.0,chicken blackpepper ayam jagung nasi merah nasi putih tepanyaki scramble egg ayam lada hitam sayur tepanyaki telur orak arik
108,cah buncis sapi cincang,sapi,395,kentang nasi merah nasi putih,tofu,tumis buncis sapi cincang lauk tahu,0.6666666666666643,cah buncis sapi cincang sapi kentang nasi merah nasi putih tofu tumis buncis sapi cincang lauk tahu
109,sapi cabe garam,sapi,400,kentang nasi merah nasi putih,tumis sayur snack,daging sapi tumis cabe garam pedas gurih tumis sayur,1.0,sapi cabe garam sapi kentang nasi merah nasi putih tumis sayur snack daging sapi tumis cabe garam pedas gurih tumis sayur
110,mie ayam sehat spesial,ayam,395,,steamed vege tofu,mie ayam sehat sayuran kukus lauk tahu,0.6666666666666643,mie ayam sehat spesial ayam  steamed vege tofu mie ayam sehat sayuran kukus lauk tahu
111,chicken rolade,ayam,395,jagung nasi merah nasi putih,clear soup,rolade ayam kukus disajikan dengan sop bening,0.6666666666666643,chicken rolade ayam jagung nasi merah nasi putih clear soup rolade ayam kukus disajikan dengan sop bening
